179: 44.750, 110.649200, 44036582, 42421961, 38797910
180: 45.000, 111.088638, 43797402, 42224910, 38644450
181: 45.250, 111.588081, 43347202, 42047197, 38469064
182: 45.500, 111.973839, 42902512, 41868191, 38334558
183: 45.750, 112.458366, 42787528, 41666573, 38170500
184: 46.000, 112.751205, 42603832, 41466611, 38072412
185: 46.250, 113.169548, 42509838, 41307975, 37932410
186: 46.500, 113.566978, 42170130, 41105791, 37799060
187: 46.750, 114.018303, 41659656, 40848433, 37648152
188: 47.000, 114.468338, 40953972, 40641274, 37496266
189: 47.250, 114.919838, 40379242, 40379359, 37347208
190: 47.500, 115.382957, 39918866, 40071084, 37197362
191: 47.750, 115.758842, 39536786, 39692217, 37078796
192: 48.000, 116.181122, 39048584, 39392470, 36943826
193: 48.250, 116.638397, 38484166, 39087884, 36798120
194: 48.500, 117.202423, 37897338, 38815427, 36619148
195: 48.750, 117.728447, 37381278, 38565576, 36453988
196: 49.000, 118.159096, 36885590, 38279841, 36320638
197: 49.250, 118.635918, 36350950, 38014998, 36173374
198: 49.500, 119.134758, 35677488, 37755087, 36019328
199: 49.750, 119.535881, 35061136, 37459939, 35897220
200: 50.000, 120.084000, 34646738, 37188435, 35733070
201: 50.250, 120.694824, 34189694, 36961794, 35550686
202: 50.500, 121.228966, 33733322, 36746371, 35392538
203: 50.750, 121.727226, 33269476, 36523060, 35246322
204: 51.000, 122.286095, 32893408, 36244317, 35085406
205: 51.250, 122.943527, 32590360, 35951107, 34898574
206: 51.500, 123.528763, 32354166, 35751279, 34733226
207: 51.750, 124.077553, 31934796, 35460317, 34579674
208: 52.000, 124.610741, 31583036, 35166927, 34432418
209: 52.250, 125.196144, 31171326, 34953432, 34270242
210: 52.500, 125.904671, 30663552, 34713350, 34075620
211: 52.750, 126.515213, 30196110, 34472011, 33909988
212: 53.000, 127.113708, 29757284, 34234289, 33749354
213: 53.250, 127.856148, 29400338, 33968291, 33553210
214: 53.500, 128.536789, 28929406, 33727652, 33374224
215: 53.750, 129.241013, 28471076, 33517495, 33190656
216: 54.000, 129.852493, 28159216, 33303935, 33034042
217: 54.250, 130.576782, 27787748, 33072246, 32850104
218: 54.500, 131.342575, 27494952, 32828239, 32658598
219: 54.750, 132.221588, 27005448, 32540869, 32440476
220: 55.000, 132.879410, 26465726, 32281693, 32278500
221: 55.250, 133.548721, 25941754, 31951673, 32116536
222: 55.500, 134.447708, 25456854, 31607699, 31901700
223: 55.750, 135.098328, 25104680, 31320931, 31748570
224: 56.000, 135.922852, 24671418, 31051163, 31555342
225: 56.250, 136.808304, 24231024, 30817413, 31349804
226: 56.500, 137.590561, 23772484, 30511400, 31171384
227: 56.750, 138.368256, 23283300, 30223624, 30995542
228: 57.000, 139.236145, 22858184, 29936923, 30802014
229: 57.250, 140.069153, 22460670, 29674343, 30618432
230: 57.500, 141.132584, 22066720, 29390254, 30387320
231: 57.750, 142.151917, 21732430, 29131226, 30169178
232: 58.000, 143.155212, 21389904, 28847134, 29957840
233: 58.250, 144.270477, 21026600, 28588390, 29725712
234: 58.500, 145.294327, 20788324, 28261903, 29517668
235: 58.750, 146.236099, 20490770, 27936682, 29328692
236: 59.000, 147.309814, 20172826, 27652829, 29115166
237: 59.250, 148.557251, 19864522, 27332271, 28871284
238: 59.500, 149.579666, 19606492, 27085967, 28674192
239: 59.750, 150.689331, 19340860, 26847412, 28463040
240: 60.000, 151.766388, 19020152, 26583915, 28261070
241: 60.250, 152.930038, 18666378, 26317340, 28045796
242: 60.500, 154.001358, 18296658, 26071603, 27850216
243: 60.750, 155.044266, 18052658, 25809271, 27663486
244: 61.000, 156.185318, 17814766, 25525051, 27462212
245: 61.250, 157.341660, 17576146, 25274225, 27260776
246: 61.500, 158.548904, 17333942, 25025049, 27053512
247: 61.750, 159.676224, 17114580, 24795242, 26862824
248: 62.000, 161.030594, 16884632, 24578849, 26636746
249: 62.250, 162.141647, 16628116, 24338985, 26454474
250: 62.500, 163.417877, 16282208, 24109290, 26247302
251: 62.750, 164.873962, 15892472, 23846601, 26014912
252: 63.000, 166.173157, 15699706, 23573623, 25812426
253: 63.250, 167.573853, 15592054, 23304049, 25597964
254: 63.500, 168.968414, 15344688, 23061356, 25386852
255: 63.750, 170.213928, 15049276, 22819955, 25201096
256: 64.000, 171.676636, 14807128, 22599684, 24986284
257: 64.250, 173.030716, 14526556, 22348315, 24790906
258: 64.500, 174.668243, 14356078, 22103385, 24558990
259: 64.750, 176.309174, 14125022, 21890178, 24330228
260: 65.000, 177.832214, 13882894, 21670049, 24121794
261: 65.250, 179.499207, 13616790, 21469226, 23897280
262: 65.500, 181.059952, 13363068, 21258805, 23691068
263: 65.750, 182.827835, 13153854, 21036762, 23462016
264: 66.000, 184.568680, 12933730, 20770174, 23241222
265: 66.250, 186.628586, 12705908, 20530323, 22984674
266: 66.500, 188.681808, 12461692, 20276925, 22734622
267: 66.750, 190.853943, 12193390, 20006045, 22475954
268: 67.000, 193.144409, 11937346, 19693864, 22209946
269: 67.250, 195.515717, 11658396, 19442660, 21940336
270: 67.500, 197.749771, 11372820, 19191540, 21692310
271: 67.750, 199.902237, 11205848, 18959857, 21459052
272: 68.000, 201.993210, 10947894, 18740663, 21236708
273: 68.250, 204.388443, 10693374, 18493733, 20987786
274: 68.500, 206.547272, 10462616, 18194637, 20769142
275: 68.750, 209.138702, 10299382, 17913674, 20512472
276: 69.000, 211.389313, 10118480, 17603921, 20295128
277: 69.250, 213.743149, 9862332, 17260752, 20072600
278: 69.500, 216.038635, 9537696, 16926026, 19859934
279: 69.750, 218.560425, 9244936, 16617807, 19631220
280: 70.000, 221.423248, 9023458, 16357669, 19377608
281: 70.250, 224.254364, 8897602, 16117601, 19133466
282: 70.500, 226.932968, 8702730, 15845028, 18908174
283: 70.750, 229.875061, 8501814, 15565029, 18666686
284: 71.000, 232.677597, 8395034, 15325338, 18442490
285: 71.250, 235.489899, 8221770, 15127823, 18222250
286: 71.500, 239.061447, 8068834, 14925708, 17949924
287: 71.750, 242.249863, 7928868, 14692098, 17714050
288: 72.000, 245.753601, 7798972, 14453175, 17461888
289: 72.250, 249.160065, 7664652, 14207281, 17223630
290: 72.500, 252.853424, 7534842, 13937517, 16972678
291: 72.750, 256.483917, 7409948, 13622551, 16733468
292: 73.000, 260.228210, 7251582, 13333436, 16493390
293: 73.250, 264.202789, 7020564, 13067371, 16245470
294: 73.500, 267.991333, 6747810, 12795141, 16015968
295: 73.750, 271.654449, 6481742, 12496721, 15800426
296: 74.000, 275.899506, 6253556, 12209070, 15557696
297: 74.250, 280.071136, 6083382, 11920947, 15326590
298: 74.500, 284.204407, 5943028, 11593479, 15104720
299: 74.750, 289.309906, 5773858, 11287883, 14838774
300: 75.000, 294.864960, 5628152, 11036697, 14559484
301: 75.250, 299.886322, 5442916, 10796231, 14315870
302: 75.500, 305.462708, 5260390, 10563545, 14054596
303: 75.750, 311.434479, 5036240, 10314758, 13785112
304: 76.000, 316.937408, 4799946, 10042436, 13545982
305: 76.250, 323.363220, 4630566, 9694049, 13277600
306: 76.500, 329.517731, 4505994, 9303746, 13030852
307: 76.750, 335.105408, 4352248, 8965566, 12814484
308: 77.000, 341.733704, 4244232, 8676096, 12566586
309: 77.250, 348.911499, 4169282, 8423232, 12308562
310: 77.500, 356.713013, 4052378, 8175141, 12039676
311: 77.750, 364.755127, 3945042, 7933327, 11774530
312: 78.000, 372.594482, 3834316, 7699654, 11527088
313: 78.250, 0.006989, 3768498, 7469682, 11249486
314: 78.500, 0.011121, 3657770, 7266111, 10996746
315: 78.750, 0.013907, 3580598, 7099051, 10767248
316: 79.000, 0.014292, 3464700, 6914316, 10514196
317: 79.250, 0.006889, 3321044, 6751466, 10252516
318: 79.500, 430.499084, 3183706, 6618103, 9976540
319: 79.750, 440.913666, 3018962, 6461765, 9740690
320: 80.000, 451.921387, 2952446, 6304158, 9503456
321: 80.250, 463.974152, 2908310, 6156814, 9256590
322: 80.500, 477.803558, 2821214, 6035686, 8988434
323: 80.750, 491.093323, 2726378, 5903991, 8745040
324: 81.000, 503.350098, 2639090, 5769140, 8532034
325: 81.250, 518.512878, 2526392, 5630672, 8282368
326: 81.500, 534.681702, 2433726, 5479732, 8031832
